# /video/* endpoint socket 级响应全集 — 错误消息字面即契约（见文件头注释：两处 503 内文为代表性定值）
# video|<name>|REQUEST_HEX|RESPONSE_HEX|STATUS
video|start_200|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a2034330d0a0d0a7b226f7574646f6f72223a223036303230303030403137322e31362e3130362e3135323a3138303232227d|485454502f312e3120323030204f4b0d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a203133320d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b2273657373696f6e5f6964223a2231313131313131312d323232322d343333332d383434342d353535353535353535353535222c2273747265616d5f75726c223a222f766964656f2f31313131313131312d323232322d343333332d383434342d3535353535353535353535352f73747265616d2e666c76222c2274746c223a36307d|200
video|start_400_bad_json|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a20340d0a0d0a7b626164|485454502f312e31203430302042616420526571756573740d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2039330d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a227061727365204a534f4e20626f64793a20696e76616c69642063686172616374657220276227206c6f6f6b696e6720666f7220626567696e6e696e67206f66206f626a656374206b657920737472696e67227d|400
video|start_400_missing_outdoor|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a20320d0a0d0a7b7d|485454502f312e31203430302042616420526571756573740d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2033350d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a226d697373696e6720276f7574646f6f7227206669656c64227d|400
video|start_400_invalid_uri|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a2032330d0a0d0a7b226f7574646f6f72223a226e6f742d612d757269227d|485454502f312e31203430302042616420526571756573740d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2038330d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a22696e76616c696420276f7574646f6f7227205552493a207572693a206d616c666f726d65642c2077616e74206e616d654069703a706f72743a205c226e6f742d612d7572695c22227d|400
video|start_400_allowlist|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a2033370d0a0d0a7b226f7574646f6f72223a2230363032303030394031302e392e392e393a3138303232227d|485454502f312e31203430302042616420526571756573740d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2034390d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a226f7574646f6f72206e6f7420696e206366672e73746174696f6e7320616c6c6f776c697374227d|400
video|start_409_conflict|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a2034330d0a0d0a7b226f7574646f6f72223a223036303230303031403137322e31362e3130362e3135333a3138303232227d|485454502f312e3120343039205374617475730d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a203133310d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a22766964656f3a20616e6f74686572206f7574646f6f722073657373696f6e206973206163746976653a206163746976653d3036303230303030403137322e31362e3130362e3135323a31383032322c207265717565737465643d3036303230303031403137322e31362e3130362e3135333a3138303232227d|409
video|start_503_preview_timeout|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a2034330d0a0d0a7b226f7574646f6f72223a223036303230303030403137322e31362e3130362e3135323a3138303232227d|485454502f312e3120353033205365727669636520556e617661696c61626c650d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2038380d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a22766964656f3a206f7574646f6f722070726576696577207369676e616c206661696c65643a206469616c203137322e31362e3130362e3135323a31383032323a20692f6f2074696d656f7574227d|503
video|start_503_other|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a2034330d0a0d0a7b226f7574646f6f72223a223036303230303030403137322e31362e3130362e3135323a3138303232227d|485454502f312e3120353033205365727669636520556e617661696c61626c650d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2034360d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a22766964656f3a207274702062696e64203a393838303a20676f6c64656e2d73747562227d|503
video|start_503_nilguard|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a2034330d0a0d0a7b226f7574646f6f72223a223036303230303030403137322e31362e3130362e3135323a3138303232227d|485454502f312e3120353033205365727669636520556e617661696c61626c650d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2033370d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a22766964656f20666f7277617264206e6f7420656e61626c6564227d|503
video|start_503_nilguard_bad_json|504f5354202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a436f6e74656e742d4c656e6774683a20340d0a0d0a7b626164|485454502f312e3120353033205365727669636520556e617661696c61626c650d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2033370d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a22766964656f20666f7277617264206e6f7420656e61626c6564227d|503
video|start_405_get|474554202f766964656f2f737461727420485454502f312e310d0a486f73743a20676f6c64656e0d0a0d0a|485454502f312e3120343035204d6574686f64204e6f7420416c6c6f7765640d0a416c6c6f773a20504f53540d0a436f6e6e656374696f6e3a20636c6f73650d0a436f6e74656e742d4c656e6774683a2034340d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a736f6e0d0a0d0a7b226572726f72223a226d6574686f6420474554206e6f7420616c6c6f7765643b2075736520504f5354227d|405
